/streams/n1Y8RoMEJnhDVRGDvz6o, Encrypted Stream, 47.6814875, -122.2087353, 
/streams/LQyo4Lo7xdCQVEJdVng7, Nero Test, , , nero
/streams/JxlO5Y0JgphL2v9LxMl1, Dalmierz, , , 
/streams/dZLlwL1L7RH2XWL6rmvd, testTSWeather, , , 
/streams/jqLQKlmr5WH5yanYOAq8, Distronix, , , 
/streams/lzLjw4wKZXu4x4Wj6Vrj, 8266_Test_Stream, 56.4906712, -4.2026458, 
/streams/0lrwxxq5aOFOXj1ylZjg, test, , , 
/streams/7JxONR5lZzsrGZWYEv94, Fluxmetr data, 59.9342802, 30.3350986, atmosphere
/streams/RMKaNpRxNVHdnYy9LKVo, BBQ, -33.864174, 151.2052868, 
/streams/7J4K66WgyGI0WOO62L1Z, multinetwork gateway, 13.0826802, 80.2707184, multinetwork
/streams/o8Lp9NqO1jcKJl2oOL9M, memory, , , 
/streams/KJnN4aX8GxtMM8XW6XbN, Sump_Pump-1234, 46.5653163, -66.4619164, pump1234
/streams/roLLN3q16gfZLbDQj8Ev, Izo Temperature, 48.1485965, 17.1077477, temp
/streams/KJnYxGzxgAuV2rKbdM47, TestStream, 28.5383355, -81.3792365, temperature
/streams/YGLz1547aQT21XZyZv66, Temperatue From My house, 40.463667, -3.74922, temperature
/streams/XGb3M7VWpwSKv8KWaNVG, ESP Daily Task Library testing, , , 
/streams/xRXqlRvE2qf4m4rlRbA7, Internode Line Speed Test, -37.5636495, 143.8671868, internode
/streams/QGjmbDqWmYfZrKawDy8Q, probes, , , 
/streams/8dzJDQw8oDsyYjbymLwm, A Soil Moisture  Temperature and Humidity sensor at my farm in Lampang, Thailand., 18.2888404, 99.490874, ampang, bigtui, humidity, moisture, soi, temperature, thailand
/streams/dZL9GANo4nI3DydNRjzq, test2016, , , test2016
/streams/wpLXXN9p91tw6YgdOXNG, Soumik, , , 
/streams/wpLXXN9p91tw6YgdOXNG, Soumik, , , 
/streams/VGvJLo60AjtdyY8pJMW5, TAS Sensores, -18.512178, -44.5550308, apc220, atmega, galvanometer, iot, w5100
/streams/RMbG6mDrXEFaDw37VK3M, Energie verbruik, 51.9244201, 4.4777325, ardiuno, energy, monitor
/streams/lzL8gw07aYh43pYEEGg3, Dryer Vent 2, 46.5924428, -90.8837982, dryer, humidity, temperature, vent
/streams/pwLKVrv0OYsXOg9mWXDr, TechTown, , , 
/streams/XGLnEN9gy1h1L81dQLvQ, sensorTest, 35.6894875, 139.6917064, 
/streams/n1L5M2W0EVSzvdoODN9j, American Pale Ale, 63.4305149, 10.3950528, 
/streams/7J4AKryj2NcyD6W1b40p, Weather, , , 
/streams/o8q1VY6ybVixQR9Ay9R3, Pogoda Pyrzyce Polska, 53.1460852, 14.8924044, 
/streams/5JyYZ96w4OU8lolox2vZ, bah, , , 
/streams/1n74XrMjrJSpWp3mb1pL, Sentient Shed, 51.5073509, -0.1277583, 
/streams/wpL0WDKZLViE0gE197Qd, 24V battery bank voltage monitor, 52.1614354, -7.1492952, battery, ireland, tramore, volts
/streams/8dzoQJJZlZijamMK4jz9, tomar project, 28.5355161, 77.3910265, accident
/streams/ZGL4XgA9YET3dmnEGZ2K, accident control , 28.5355161, 77.3910265, accident
/streams/AJbNWzj705HRW7xNZv9G, Weather Test, 40.103874, -105.1708193, 
/streams/4JEApWJZnDUmM2JA4xq5, Antrasis daviklis (breadboard), , , 
/streams/OG55WRJE82cXlG34rzxa, ESP8266 Temp &amp; Humidity Test Sensor - Denton Tx, 33.2148412, -97.1330683, denton, weather
/streams/YGLdn6xVynIm3aMlNYKo, 89154, , , 
/streams/EJAVpX3X2gCbW7oLoKam, Temperature Sensor Calibration, , , 
/streams/9JK8MMx3d2FnWbWXZ0dg, security system, 20.593684, 78.96288, distance, humans
/streams/yA6nW3Lazoiwzz44A6JE, San Angel, 19.4326077, -99.133208, dht
