550,field8,Outdoor Humidity (%)
550,field6,Outdoor Temp (
550,field1,Rain (mm)
550,field7,Indoor Temp (
550,field2,Pressure (hPa)
550,field4,Wind Gust (m/s)
550,field3,Wind Direction
550,field5,Wind Speed (m/s)
556,field1,Alarm1
556,field2,Alarm2
556,field4,Temp
556,field3,Humidity
557,field6,loopCounter
557,field1,POOL
557,field2,OUTSIDE
557,field4,wiFiConnTime
557,field3,battVoltage
557,field5,code execution time till now
563,field2,RSSI
563,field3,Temperature (degC)
563,field1,LQI
566,field1,Field Label1
567,field2,Humidity
567,field1,Temperature
574,field2,Color
574,field1,Temperature
575,field8,Field Label 8
575,field6,Field Label 6
575,field1,Field Label1
575,field7,Field Label 7
575,field2,Field Label 2
575,field4,Field Label 4
575,field3,Field Label 3
575,field5,Field Label 5
580,field2,test2
580,field1,test1
587,field1,Field Label1
595,field8,Sip Channels
595,field6,Temperature (BMP180)
595,field1,Temperature
595,field7,Pressure
595,field2,Battery Voltage (V)
595,field4,CPU Temperature
595,field3,Light Level
595,field5,Humidity
600,field1,serverikoppi
600,field2,autotalli
600,field4,makuuhuone
600,field3,sauna
601,field2,Field Label 2
601,field1,Temperature
602,field1,Time
602,field2,Temperature
602,field4,Wind
602,field3,Humidity
602,field5,Rain
604,field1,Hall Effect
604,field2,LDR
604,field4,FSR
604,field3,TMP36
607,field1,Time
607,field2,Temperature2
607,field4,Temperature6
607,field3,Humidity2
607,field5,HUmidity6
614,field1,Temperature
614,field2,Humidity
614,field4,Ambient
614,field3,Pressure
623,field2,T
623,field1,T
624,field1,adc
625,field6,Simulation: Heat Pad 2
625,field1,Ambient
625,field2,Heat Pad 1
625,field4,Simulation: Ambient
625,field3,Heat Pad 2
625,field5,Simulation: Heat Pad 1
627,field1,Phototransistor
627,field2,Light Level (log)
627,field4,1-hr Event Count
627,field3,CPU-Monitor
628,field1,pH
628,field2,Room temperature
628,field4,Field Label 4
628,field3,Tank temperature
633,field1,PH
633,field2,Raum Temperatur
633,field4,LED Temperatur
633,field3,Wasser Temperatur
637,field2,Pressure
637,field3,Humidity
637,field1,Temperature
639,field1,house-erate
640,field1,Temperature
640,field2,Light Intensity
640,field3,Presence
656,field2,Memory Available (mb) 
656,field1,CPU Usage (percent) 
657,field1,Ted
657,field2,Tedd
657,field4,Tedddd
657,field3,Teddd
657,field5,Tedddd
659,field6,Humitidy Swimming bath
